"country","round","waves","n_vars","file"
"ARG",2,"1",1735,"GGS_R2.csv"
"AUT",2,"1",1760,"GGS_R2.csv"
"BLR",2,"1",2074,"GGS_R2.csv"
"CZE",2,"1, 2",3065,"GGS_R2.csv"
"DEU",2,"1",1039,"GGS_R2.csv"
"DNK",2,"1",1699,"GGS_R2.csv"
"EST",2,"1, 2",3056,"GGS_R2.csv"
"FIN",2,"1",1761,"GGS_R2.csv"
"FRA",2,"1",1900,"GGS_R2.csv"
"GBR",2,"1",1662,"GGS_R2.csv"
"HKG",2,"1",1789,"GGS_R2.csv"
"HRV",2,"1",1764,"GGS_R2.csv"
"KAZ",2,"1",1429,"GGS_R2.csv"
"MDA",2,"1, 2",2913,"GGS_R2.csv"
"NLD",2,"1",1819,"GGS_R2.csv"
"NOR",2,"1, 2",2681,"GGS_R2.csv"
"SWE",2,"1, 1_register",2546,"GGS_R2.csv"
"TWN",2,"1",1945,"GGS_R2.csv"
"URY",2,"1",1992,"GGS_R2.csv"
